X,Y,Species,Cluster_ID
253786,775605,Har Gershom,1
251209,786391,Nezer,3
247898,771460,Alma cave,4
253320,778689,Zemer cave,5
253933,777281,Einan,6
253070,779721,Kedesh,7
253801,777652,Einan North,8
253366,781207,Shaked,9
