x,y,time,in_speed,out_speed,angle,speed_in,speed_out,window_size
0.73432620302815,0.922420992845306,5002,0.0176930946220681,0.0167754512515621,169.33157454997,0.0176930946220681,0.0167754512515621,11
0.73432620302815,0.922420992845306,5003,0.0167754512515621,0.0258465843988075,158.926320403985,0.0167754512515621,0.0258465843988075,11
0.729752258216919,0.915593087911106,5004,0.0258465843988075,0.0265676631645443,156.68178046242,0.0258465843988075,0.0265676631645443,11
0.725794108288082,0.915593087911106,5005,0.0265676631645443,0.016255829078327,168.644238652606,0.0265676631645443,0.016255829078327,11
0.725794108288082,0.915593087911106,5006,0.016255829078327,0.0134751616899592,178.6584192456,0.016255829078327,0.0134751616899592,11
0.725794108288082,0.915593087911106,5007,0.0134751616899592,0.00481236770022794,120.50343754032,0.0134751616899592,0.00481236770022794,11
0.725794108288082,0.915593087911106,5008,0.00481236770022794,0.0102750747381091,51.3196590170229,0.00481236770022794,0.0102750747381091,11
0.725794108288082,0.915593087911106,5009,0.0102750747381091,0.00785684635269207,118.907015623488,0.0102750747381091,0.00785684635269207,11
0.725794108288082,0.915593087911106,5010,0.00785684635269207,0.00936072583666748,112.181874112179,0.00785684635269207,0.00936072583666748,11
0.729752258216919,0.915593087911106,5011,0.00936072583666748,0.0124385884247042,111.416199224682,0.00936072583666748,0.0124385884247042,11
0.729752258216919,0.915593087911106,5012,0.0124385884247042,0.017334475088144,14.6923266117272,0.0124385884247042,0.017334475088144,11
0.730289684172305,0.915993113272304,5013,0.017334475088144,0.0150948568278231,120.426983061346,0.017334475088144,0.0150948568278231,11
0.731327847524374,0.915993113272304,5014,0.0150948568278231,0.0211737230531997,96.9527481594148,0.0150948568278231,0.0211737230531997,11
0.731327847524374,0.915993113272304,5015,0.0211737230531997,0.0073201234318982,177.375912324815,0.0211737230531997,0.0073201234318982,11
0.731535431478905,0.915993113272304,5016,0.0073201234318982,0.0132878683014468,120.989208592017,0.0073201234318982,0.0132878683014468,11
0.731535431478905,0.915993113272304,5017,0.0132878683014468,0.00931007318450661,176.268216023338,0.0132878683014468,0.00931007318450661,11
0.731535431478905,0.915993113272304,5019,0.00931007318450661,0.00434042744273394,139.911813145641,0.00931007318450661,0.00434042744273394,11
0.731535431478905,0.915993113272304,5020,0.00434042744273394,0.00443310480079101,15.85811199814,0.00434042744273394,0.00443310480079101,11
0.731535431478905,0.917007589527412,5021,0.00443310480079101,0.00526042412887139,72.3700373414052,0.00443310480079101,0.00526042412887139,11
0.731535431478905,0.91767216384996,5022,0.00526042412887139,0.0165034257782167,118.09032890563,0.00526042412887139,0.0165034257782167,11
0.731535431478905,0.91767216384996,5023,0.0165034257782167,0.0209449127149976,137.624384226365,0.0165034257782167,0.0209449127149976,11
0.731535431478905,0.91767216384996,5024,0.0209449127149976,0.00812198339122198,170.355014702959,0.0209449127149976,0.00812198339122198,11
0.731535431478905,0.919162531272351,5025,0.00812198339122198,0.0177361723844425,93.7707681463979,0.00812198339122198,0.0177361723844425,11
0.732907650038582,0.919162531272351,5026,0.0177361723844425,0.0118052730197197,116.997707552986,0.0177361723844425,0.0118052730197197,11
0.732907650038582,0.919162531272351,5028,0.0118052730197197,0.0248969111942937,166.739956444915,0.0118052730197197,0.0248969111942937,11
0.732907650038582,0.919399366457861,5029,0.0248969111942937,0.00426831846042784,149.036798659929,0.0248969111942937,0.00426831846042784,11
0.732907650038582,0.920438862358975,5031,0.00426831846042784,0.0133527451522408,93.5327263236776,0.00426831846042784,0.0133527451522408,11
0.732907650038582,0.922396085218244,5032,0.0133527451522408,0.00810743060350554,160.457302740608,0.0133527451522408,0.00810743060350554,11
0.731327847524374,0.922747071966491,5034,0.00810743060350554,0.00352126129178318,134.474149438919,0.00810743060350554,0.00352126129178318,11
0.730770766308549,0.924893934319761,5036,0.00352126129178318,0.00995463268395479,160.10476157774,0.00352126129178318,0.00995463268395479,11
0.730770766308549,0.924893934319761,5037,0.00995463268395479,0.0167873724748353,73.6595833594431,0.00995463268395479,0.0167873724748353,11
0.730770766308549,0.924893934319761,5038,0.0167873724748353,0.019598394654727,164.898473834478,0.0167873724748353,0.019598394654727,11
0.730770766308549,0.926105437543007,5040,0.019598394654727,0.00808861769405465,161.132049081085,0.019598394654727,0.00808861769405465,11
0.730770766308549,0.926105437543007,5041,0.00808861769405465,0.0196546496548225,2.05840366725812,0.00808861769405465,0.0196546496548225,11
0.730770766308549,0.924893934319761,5042,0.0196546496548225,0.00889312059995016,146.380141058474,0.0196546496548225,0.00889312059995016,11
0.730770766308549,0.924893934319761,5043,0.00889312059995016,0.00592759847337575,94.3191472389177,0.00889312059995016,0.00592759847337575,11
0.730770766308549,0.924893934319761,5044,0.00592759847337575,0.00882438277171042,150.392263896594,0.00592759847337575,0.00882438277171042,11
0.729013331576567,0.924893934319761,5045,0.00882438277171042,0.0064284330182471,89.7835915268536,0.00882438277171042,0.0064284330182471,11
0.729013331576567,0.924893934319761,5046,0.0064284330182471,0.0137595457106631,159.916126824014,0.0064284330182471,0.0137595457106631,11
0.729013331576567,0.926105437543007,5047,0.0137595457106631,0.00627978246317219,54.9290029566924,0.0137595457106631,0.00627978246317219,11
0.729013331576567,0.926105437543007,5048,0.00627978246317219,0.00981494388924352,164.51647821858,0.00627978246317219,0.00981494388924352,11
0.729013331576567,0.926105437543007,5049,0.00981494388924352,0.0161407602246457,120.873132337387,0.00981494388924352,0.0161407602246457,11
0.729013331576567,0.926701837547411,5050,0.0161407602246457,0.00360299643090342,131.076696888356,0.0161407602246457,0.00360299643090342,11
