x,y,time,TAG,res_time
650531.7777754,5901740.58428819,2020-08-21T16:59:00Z,31001001060,17.0572229822477
650527.961857753,5901738.77983736,2020-08-21T16:59:30Z,31001001060,17.0440283417702
650530.89733123,5901728.98651336,2020-08-21T17:00:00Z,31001001060,16.9912308136622
650529.752398338,5901746.96337555,2020-08-21T17:00:30Z,31001001060,17.0716871857643
650528.564161035,5901746.59143549,2020-08-21T17:01:00Z,31001001060,17.0692641337713
650528.404987994,5901746.84065872,2020-08-21T17:01:30Z,31001001060,17.069501721859
650527.548171355,5901745.02713204,2020-08-21T17:02:00Z,31001001060,17.0643785158793
650529.013136362,5901747.08812541,2020-08-21T17:02:30Z,31001001060,17.0708352009455
650529.678776383,5901747.74536208,2020-08-21T17:03:00Z,31001001060,17.0728930036227
650528.307110837,5901745.70767318,2020-08-21T17:03:30Z,31001001060,17.0670686999957
650527.671497439,5901745.93321754,2020-08-21T17:04:00Z,31001001060,17.0666180968285
650525.79908824,5901744.01568133,2020-08-21T17:04:30Z,31001001060,17.0591514070829
650524.108464621,5901739.37263552,2020-08-21T17:05:00Z,31001001060,17.0404443740845
650526.109479447,5901743.18127785,2020-08-21T17:05:30Z,31001001060,17.0572325706482
650524.347881275,5901742.87261847,2020-08-21T17:06:00Z,31001001060,17.0535985827446
650526.964287959,5901745.80923006,2020-08-21T17:06:30Z,31001001060,17.0653054316839
650529.376267971,5901748.97942414,2020-08-21T17:07:00Z,31001001060,17.0741643627485
650524.31619791,5901741.39365345,2020-08-21T17:07:30Z,31001001060,17.04861424764
650526.305450118,5901744.77850458,2020-08-21T17:08:00Z,31001001060,17.0619119683901
650525.111587755,5901742.42178377,2020-08-21T17:08:30Z,31001001060,17.0533414244652
650526.88647756,5901745.16660735,2020-08-21T17:09:00Z,31001001060,17.0637262185415
650527.599691959,5901746.3544788,2020-08-21T17:09:30Z,31001001060,17.0673844099045
650527.500913516,5901745.54630639,2020-08-21T17:10:00Z,31001001060,17.0655176560084
650525.934709581,5901742.26609758,2020-08-21T17:10:30Z,31001001060,17.0541005333265
650525.029152364,5901741.69434787,2020-08-21T17:11:00Z,31001001060,17.0507781187693
650526.187974817,5901745.49606773,2020-08-21T17:11:30Z,31001001060,17.0634538928668
650526.629700818,5901744.94510609,2020-08-21T17:12:00Z,31001001060,17.0628091692925
650538.558188056,5901746.77678535,2020-08-21T17:12:30Z,31001001060,17.0822741270065
650569.040203682,5901748.95046692,2020-08-21T17:13:00Z,31001001060,17.0770778099696
650604.793836709,5901754.45121134,2020-08-21T17:13:30Z,31001001060,16.6427681326866
650637.474238579,5901749.60600606,2020-08-21T17:14:00Z,31001001060,2.93293972412745
650673.943676734,5901750.42071647,2020-08-21T17:14:30Z,31001001060,2.77823710838954
