time_agg,TAG,NBS,SD,x,y,Long,Lat,time,speed_in,angle,VARX,VARY,count,speed_smooth
1598027340,31001001060,5.75,3.22493609937686,650072.818349587,5902622.0951171,5.24951615493915,53.251619600101,1598027367.5,,172.441762574202,1.27600625,0.750055,4,1.20885132337896
1598027370,31001001060,6.27272727272727,4.26651062578897,650055.409560605,5902618.64107932,5.24921109246002,53.2515907055541,1598027382.18182,1.20885132337896,140.734818837576,0.386646204545455,5.45637309917355,22,1.21277861562931
1598027400,31001001060,4.15384615384615,5.73000627671789,650026.117260634,5902591.90913344,5.24875644308963,53.2513589122186,1598027413.07692,1.2835843122343,115.283068830591,0.965117869822485,3.63774970414201,13,1.21670590787967
1598027430,31001001060,3.5625,7.9597369870311,650033.192114912,5902557.2307447,5.24885061716445,53.2510368604442,1598027442.75,1.19275510986224,120.254025966981,2.186980234375,6.74811328125,16,1.21670590787967
1598027460,31001001060,4,4.5748508405305,650041.293527175,5902513.87558221,5.24895467982814,53.2506444488948,1598027479,1.21670590787967,81.2105336424034,1.48698781065089,2.66913183431953,13,1.2835843122343
1598027490,31001001060,3.64705882352941,10.1002707916537,650048.944129072,5902481.37536884,5.24903724557511,53.2503564007474,1598027502.88235,1.39804293325076,99.8480750518069,11.3419287197232,5.25776820069204,17,1.21670590787967
1598027520,31001001060,3.66666666666667,7.90435138555235,650076.921742528,5902444.08833769,5.24945028985607,53.2500127354981,1598027535.80952,1.41573638548071,119.840526357067,1.84977653061225,1.38825675736961,21,1.21670590787967
1598027550,31001001060,4.9,4.46357564129398,650097.966528792,5902421.4258424,5.24975491143534,53.2498053676355,1598027564.5,1.07794924048482,125.541055934963,0.271257511111111,0.285994855555556,30,1.07794924048482
1598027580,31001001060,4.86956521739131,8.58117183134212,650108.115598691,5902406.15532005,5.24990287440677,53.2496639262424,1598027595.08696,0.599456573867369,109.779912634717,1.21888799621928,0.758314631379962,23,0.599456573867369
1598027610,31001001060,4.86363636363636,12.1857843206983,650108.069415472,5902408.11876043,5.24989076039625,53.2496784577339,1598027624.90909,0.0658565687144155,97.9567493376745,2.36087479338843,1.3805632231405,22,0.147301662523395
1598027640,31001001060,3.81818181818182,21.9896966637103,650104.918337223,5902405.7585799,5.24983390533291,53.2496575562264,1598027651.63636,0.147301662523395,117.982073365079,25.070305785124,12.7089314049587,11,0.0658565687144155
1598027670,31001001060,3.85,20.1126676676323,650104.987940683,5902404.62214743,5.24984314778587,53.2496520131282,1598027685.5,0.0336219648759071,126.122721319647,7.12170675,3.87777525,20,0.0658565687144155
1598027700,31001001060,3.93333333333333,16.7945995220213,650104.650925489,5902403.37286137,5.24987443980177,53.2496559933237,1598027710.73333,0.051279213254836,167.508289841337,6.40007466666667,3.49163466666667,15,0.147301662523395
1598027730,31001001060,3.83333333333333,18.0890324845753,650112.698959691,5902400.54916221,5.24995311760064,53.2496143631875,1598027748.41667,0.2263339321967,123.102593422907,9.374725,5.39667083333333,12,0.2263339321967
1598027760,31001001060,4.47619047619048,9.33039062552884,650141.07158714,5902391.30882108,5.25038078727793,53.2495184276917,1598027774.42857,1.14714404827151,106.387861186907,1.44948839002268,0.964398752834467,21,1.14714404827151
1598027790,31001001060,5,7.07811194513982,650172.040183187,5902364.99462397,5.25083950870653,53.2492787046931,1598027806.11111,1.28267935922744,91.5292060624409,0.864699259259259,0.716376203703704,18,1.28267935922744
