x,y,time
0.18915662905229,-0.0649597543527855,1
0.380391172447187,-0.156411514808362,2
0.541131618237903,-0.239308660926701,3
0.749571251999642,-0.318333075497593,4
0.964358459637987,-0.448841075765834,5
1.14866436087098,-0.550860647970106,6
1.34484062869609,-0.711873076153582,7
1.56065728648798,-0.909455868251932,8
1.79053389315933,-1.071230523668,9
2.00606638053083,-1.24703184646402,10
2.26553729229968,-1.42622285891592,11
2.5322607818118,-1.65359480010075,12
2.77382267082333,-1.92272737231282,13
2.939870328183,-2.17527787482659,14
3.13849963285773,-2.4283480992729,15
3.33172227812318,-2.69523258503847,16
3.52056375204485,-2.9993553712951,17
3.73575129010538,-3.33241640313433,18
3.97284466590761,-3.5938331889725,19
4.2241507619874,-3.86044167932658,20
4.49976025040692,-4.09701532752745,21
4.79481972820993,-4.30380372327497,22
5.08635778641702,-4.48209706056349,23
5.30857416329451,-4.64741559680039,24
5.54612818841979,-4.84939718057364,25
5.77713976285506,-5.07955783100772,26
5.99855883262391,-5.28113433110307,27
6.1686098962023,-5.52043590390699,28
6.3199995966404,-5.73811480130877,29
6.48170026779778,-5.9684682402959,30
6.68352970302176,-6.20692893334486,31
6.87804203991377,-6.46581982350211,32
7.08103681780894,-6.72687793823365,33
7.27825449169923,-6.95471920098558,34
7.42757842972372,-7.16352257059911,35
7.56067117879277,-7.37556905499672,36
7.67851815821864,-7.55560805066784,37
7.7921151883166,-7.67919427394122,38
7.93854800824449,-7.80051203955114,39
8.10640921764877,-7.90438759902265,40
8.26566236937141,-7.99730619272009,41
8.41364432314441,-8.11957656088765,42
8.58091049050917,-8.26897387277475,43
8.76259745339818,-8.35411302992767,44
8.91866877563557,-8.40942308631174,45
9.0490386929249,-8.43994311802118,46
9.18843698461789,-8.46514288746939,47
9.3495753326746,-8.47434729984874,48
9.5039053414446,-8.47852108040376,49
9.68326964009288,-8.48127097904931,50
9.87175235418858,-8.47683527119242,51
10.0369323576032,-8.50473765714679,52
10.2096957263565,-8.45544607369322,53
10.3429597726186,-8.38154540467628,54
10.5192940374295,-8.31714014711974,55
10.7553068370735,-8.21531316659647,56
10.974879366866,-8.13554190738214,57
11.1567364901531,-8.00275379518405,58
11.3531392907633,-7.88520802799575,59
11.5413037160293,-7.84410444464753,60
11.8023534020722,-7.76028654716212,61
12.0569297347004,-7.64200948185459,62
12.3284278362071,-7.55081055930897,63
12.5953896752901,-7.50644827162663,64
12.8332904288784,-7.52152287901814,65
13.0724585458342,-7.54488166420428,66
13.2492373555357,-7.62630380558376,67
13.4692543329252,-7.73209156243358,68
13.6897621096649,-7.83054309730546,69
13.9751994632059,-7.89972137833014,70
14.270104138141,-7.99368553050892,71
14.5364525077282,-8.08971522899842,72
14.8169654750567,-8.17568756306447,73
15.0620560998957,-8.20508025899172,74
15.2622347228397,-8.26447738425928,75
15.4677113913897,-8.37388874256534,76
15.6549306969059,-8.5400152042195,77
15.8384408940318,-8.6850825718403,78
16.020653519006,-8.82916731909215,79
16.1804071050314,-8.94572894172365,80
16.3188163392512,-9.06445427480515,81
16.4501431115883,-9.1682593582605,82
16.6164424455126,-9.26283231850405,83
16.7307905756618,-9.35476246808287,84
16.8618077629303,-9.46473610619743,85
17.0008308448816,-9.53223275953409,86
17.171002703064,-9.61132991356024,87
17.3280629778303,-9.66756510374839,88
17.4937913389269,-9.71742106855265,89
17.6647296928562,-9.70942187913583,90
17.8149345454407,-9.67888400784488,91
18.0006848639289,-9.65973443636304,92
18.2197548693025,-9.64125984862131,93
18.456791060977,-9.62715404394319,94
18.7397309253758,-9.68006050815019,95
19.0348363003417,-9.67773586778192,96
19.2832966392655,-9.64150354631323,97
19.5084917864804,-9.63046273439786,98
19.6900990508152,-9.60745082137791,99
19.8529654075078,-9.57717894634599,100
19.9927751973148,-9.58366495862202,101
20.1311329355236,-9.54247028575734,102
20.2376511061889,-9.51002240764271,103
20.3470824621474,-9.47236434284305,104
20.4334338717419,-9.42253782623743,105
