x,y,time,TAG,res_time
649978.987780383,5901764.9412207,1598267625,31001001060,4.58518144289653
649978.201371965,5901767.54571574,1598267626,31001001060,4.6151775042216
649976.381706645,5901767.54571574,1598267627,31001001060,4.62456285953522
649976.381706645,5901768.94144337,1598267628,31001001060,4.63603414297104
649976.381706645,5901771.89121186,1598267629,31001001060,4.65710107485453
649975.896241699,5901775.28354258,1598267630,31001001060,4.67982657750448
649974.794977611,5901775.61410796,1598267631,31001001060,4.68408874670665
649972.057417008,5901775.61410796,1598267632,31001001060,4.69064269065857
649972.057417008,5901778.95236915,1598267633,31001001060,4.71732842127482
649969.569020068,5901782.36114668,1598267634,31001001060,4.77233279546102
649969.526371598,5901782.36114668,1598267635,31001001060,4.77243578036626
649969.526371598,5901786.8619236,1598267636,31001001060,4.81318287054698
649958.808618816,5901786.8619236,1598267641,31001001060,4.84143666823705
649956.279021703,5901794.14538486,1598267642,31001001060,4.91155087550481
649953.579369028,5901808.57907547,1598267649,31001001060,5.0020356853803
649951.858284452,5901811.94603606,1598267650,31001001060,5.0382426182429
649951.545754103,5901815.70660471,1598267651,31001001060,5.06219965616862
649950.065084817,5901815.70660471,1598267652,31001001060,5.0657298207283
649940.246660358,5901817.92980618,1598267653,31001001060,5.1172765771548
649940.246660358,5901817.92980618,1598267654,31001001060,5.1172765771548
649940.246660358,5901815.70660471,1598267655,31001001060,5.10244429111481
649940.246660358,5901814.23058345,1598267656,31001001060,5.09386994838715
649939.646769212,5901814.23058345,1598267657,31001001060,5.09499376217524
649939.646769212,5901814.23058345,1598267658,31001001060,5.09499376217524
649939.646769212,5901822.04873386,1598267659,31001001060,5.1462974190712
649934.441528552,5901822.04873386,1598267660,31001001060,5.15931040445964
649934.441528552,5901822.04873386,1598267661,31001001060,5.15931040445964
649930.913847251,5901822.04873386,1598267662,31001001060,5.17442624966304
649930.494296862,5901821.00956021,1598267663,31001001060,5.16942223310471
649929.599625762,5901815.887693,1598267664,31001001060,5.13772043784459
649926.064071357,5901815.887693,1598267665,31001001060,5.15011012554169
649924.119967734,5901815.887693,1598267666,31001001060,5.15528812011083
649921.355548445,5901815.887693,1598267667,31001001060,5.15961731274923
649919.657186064,5901810.85101978,1598267668,31001001060,5.1261158823967
649917.40546252,5901810.85101978,1598267669,31001001060,5.1253734310468
649917.190182721,5901810.80180145,1598267670,31001001060,5.12561188936234
649917.190182721,5901810.80180145,1598267671,31001001060,5.12561188936234
649916.032781174,5901810.80180145,1598267672,31001001060,5.12861652771632
649910.905587422,5901810.80180145,1598267673,31001001060,5.1514554977417
649909.097516998,5901810.80180145,1598267674,31001001060,5.16359776258469
649904.655317695,5901811.53793093,1598267675,31001001060,5.1839946269989
649903.711810312,5901811.53793093,1598267676,31001001060,5.18730945189794
649903.711810312,5901811.53793093,1598267677,31001001060,5.18730945189794
649897.98139961,5901811.53793093,1598267678,31001001060,5.18966970443726
649896.681882673,5901810.47559989,1598267679,31001001060,5.18417526483536
649893.785429918,5901807.86650066,1598267680,31001001060,5.16830405394236
