X,Y,Species,Cluster_ID
256170,767879,Ficus carica,24
256169,767878,Guava,6
256188,767865,Washingtonia,19
256191,767865,Palm,12
256186,767850,Ficus carica,24
256133,767800,Ficus carica,25
256142,767693,Washingtonia,20
256154,767706,Washingtonia,20
256165,767704,Date palm,3
256159,767730,Washingtonia,20
256133,767761,Washingtonia,21
256216,767780,Washingtonia,22
256225,767774,Ficus benjamina,7
256221,767769,Melia azedarach,16
256252,767752,Cherry plum,2
256269,767745,Washingtonia,23
256260,767734,Washingtonia,23
256264,767723,Ficus carica,26
256285,767651,Ficus carica,27
256288,767651,Melia azedarach,17
256307,767675,Melia azedarach,17
256313,767669,Melia azedarach,17
256316,767664,Melia azedarach,17
256319,767647,Washingtonia,24
256261,767732,Melia azedarach,18
256254,767724,Washingtonia,23
256191,767665,Date palm,4
256215,767623,Ficus carica,28
256213,767617,Ficus carica,28
256224,767589,Melia azedarach,19
256214,767578,Melia azedarach,19
256240,767599,Melia azedarach,19
256245,767601,Melia azedarach,19
256248,767601,Ficus carica,28
256246,767577,Melia azedarach,19
256254,767578,Melia azedarach,19
256253,767575,Melia azedarach,19
256239,767565,Melia azedarach,19
256235,767599,Melia azedarach,19
256155,767558,Melia azedarach,20
256147,767567,Carob,4
256181,767595,Date palm,5
256173,767604,Date palm,5
256176,767604,Washingtonia,25
256172,767604,Melia azedarach,21
256193,767665,Date palm,4
256193,767689,Palm,13
256154,767683,Palm,13
256137,767680,Palm,13
256117,767654,Loquat,10
256120,767654,Carob,5
256116,767654,Washingtonia,26
256079,767659,Date palm,6
256051,767659,Washingtonia,27
256026,767683,Carob,6
256032,767807,Ficus carica,29
256611,767624,Avocado,4
256589,767619,Guava,7
256567,767635,Mango,11
256559,767630,Melia azedarach,22
256562,767630,Ficus carica,30
256543,767670,Ficus carica,30
256550,767672,Ficus carica,30
256526,767679,Ficus carica,30
256539,767676,Ficus carica,30
256562,767668,Ficus carica,30
256575,767670,Ficus carica,30
256581,767670,Ficus carica,30
256581,767679,Ficus carica,30
256534,767696,Ficus carica,30
256567,767698,Ficus carica,30
256578,767696,NA,1
256530,767631,Palm,14
256517,767616,Washingtonia,28
256513,767615,Washingtonia,28
256578,767574,Melia azedarach,23
256521,767565,Ficus carica,31
256471,767505,Loquat,11
256474,767505,Melia azedarach,24
256482,767565,Ficus carica,31
256485,767565,Washingtonia,29
256481,767565,Loquat,12
256491,767609,Washingtonia,28
256442,767601,Surinam Cherry,3
256422,767596,Melia azedarach,25
256424,767585,Melia azedarach,25
256413,767557,Palm,15
256427,767533,Washingtonia,30
256434,767463,Palm,16
256390,767487,Melia azedarach,26
256413,767501,Loquat,13
256433,767537,Avocado,5
256405,767592,Washingtonia,31
256405,767588,Mulberry,8
256390,767581,Melia azedarach,25
256365,767597,Mulberry,9
256379,767584,Ficus benjamina,8
256365,767590,Loquat,14
256372,767621,Ficus carica,32
256368,767557,Palm,17
256359,767560,Palm,17
256357,767551,Ficus benjamina,8
256362,767542,Mulberry,10
256365,767542,Washingtonia,32
256329,767581,Washingtonia,33
256332,767588,Melia azedarach,27
256307,767575,Avocado,6
256309,767555,Loquat,15
256295,767543,Ficus benjamina,9
256289,767527,Ficus benjamina,9
256292,767527,Loquat,15
256292,767488,Loquat,15
256308,767455,Ficus carica,33
256280,767449,Melia azedarach,28
256289,767425,Melia azedarach,28
256273,767518,Ficus benjamina,9
256281,767527,Ficus benjamina,9
256273,767556,Washingtonia,34
256262,767458,Ficus carica,34
256241,767466,Loquat,16
256236,767462,Ficus carica,34
256234,767514,Date palm,7
256217,767497,Loquat,16
256200,767451,Surinam Cherry,4
256200,767443,Mulberry,11
256211,767380,Ficus carica,35
